,,w,u,total_demand,served,un_served_demand,denied,los
31.0,79,19.0,0.0,63.0,46.0,17.0,14.0,0.7301587301587301
31.0,209,1.0,0.0,1.0,0.0,1.0,0.0,0.0
31.0,211,2.0,0.0,3.0,2.0,1.0,1.0,0.6666666666666666
31.0,87,1.0,4.0,12.0,11.0,1.0,0.0,0.9166666666666666
31.0,88,5.0,0.0,10.0,6.0,4.0,2.0,0.6
31.0,90,2.0,6.0,56.0,59.0,-3.0,0.0,1.0535714285714286
31.0,224,13.0,0.0,28.0,16.0,12.0,4.0,0.5714285714285714
31.0,100,0.0,47.0,135.0,135.0,0.0,0.0,1.0
31.0,229,9.0,1.0,68.0,70.0,-2.0,0.0,1.0294117647058822
31.0,230,2.0,18.0,32.0,30.0,2.0,0.0,0.9375
31.0,231,12.0,0.0,32.0,29.0,3.0,10.0,0.90625
31.0,232,0.0,2.0,0.0,0.0,0.0,0.0,0.0
31.0,233,0.0,3.0,34.0,34.0,0.0,0.0,1.0
31.0,234,1.0,4.0,60.0,61.0,-1.0,0.0,1.0166666666666666
31.0,107,4.0,20.0,82.0,87.0,-5.0,0.0,1.0609756097560976
31.0,236,3.0,5.0,106.0,122.0,-16.0,0.0,1.150943396226415
31.0,237,3.0,5.0,84.0,81.0,3.0,0.0,0.9642857142857143
31.0,238,13.0,0.0,72.0,67.0,5.0,0.0,0.9305555555555556
31.0,239,8.0,0.0,60.0,52.0,8.0,0.0,0.8666666666666667
31.0,113,3.0,2.0,31.0,28.0,3.0,0.0,0.9032258064516129
31.0,114,2.0,0.0,14.0,10.0,4.0,2.0,0.7142857142857143
31.0,243,1.0,0.0,2.0,0.0,2.0,1.0,0.0
31.0,116,2.0,0.0,6.0,4.0,2.0,0.0,0.6666666666666666
31.0,244,4.0,0.0,11.0,2.0,9.0,6.0,0.18181818181818182
31.0,246,5.0,0.0,25.0,20.0,5.0,0.0,0.8
31.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,249,0.0,0.0,30.0,30.0,0.0,0.0,1.0
31.0,125,4.0,5.0,10.0,6.0,4.0,0.0,0.6
31.0,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,4,6.0,0.0,14.0,12.0,2.0,3.0,0.8571428571428571
32.0,261,3.0,1.0,9.0,7.0,2.0,2.0,0.7777777777777778
32.0,262,12.0,0.0,56.0,61.0,-5.0,0.0,1.0892857142857142
32.0,263,3.0,0.0,69.0,72.0,-3.0,0.0,1.0434782608695652
32.0,137,18.0,0.0,58.0,50.0,8.0,1.0,0.8620689655172413
32.0,12,0.0,1.0,0.0,1.0,-1.0,0.0,0.0
32.0,13,7.0,0.0,41.0,27.0,14.0,12.0,0.6585365853658537
